KHHN000000001ME;TELESALES_01;PA000000001;MB
KHHN000000002ME;TELESALES_01;PA000000002;MB
KHHN000000003ME;TELESALES_01;PA000000003;MB
KHHN000000004ME;TELESALES_01;PA000000004;MB
KHHN000000005ME;TELESALES_01;PA000000005;MB
KHHN000000006ME;TELESALES_01;PA000000006;MB
KHHN000000007ME;TELESALES_01;PA000000007;MB
KHHN000000008ME;TELESALES_01;PA000000008;MB
KHHN000000009ME;TELESALES_01;PA000000009;MB
KHHN000000010ME;TELESALES_01;PA000000010;MB
KHHN000000011ME;TELESALES_01;PA000000011;MB
KHHN000000012ME;TELESALES_01;PA000000012;MB
KHHN000000013ME;TELESALES_01;PA000000013;MB
KHHN000000014ME;TELESALES_01;PA000000014;MB
KHHN000000015ME;TELESALES_01;PA000000015;MB
KHHN000000016ME;TELESALES_01;PA000000016;MB
KHHN000000017ME;TELESALES_01;PA000000017;MB
KHHN000000018ME;TELESALES_01;PA000000018;MB
KHHN000000019ME;TELESALES_01;PA000000019;MB
KHHN000000020ME;TELESALES_01;PA000000020;MB
KHHN000000021ME;TELESALES_01;PA000000021;MB
KHHN000000022ME;TELESALES_01;PA000000022;MB
KHHN000000023ME;TELESALES_01;PA000000023;MB
KHHN000000024ME;TELESALES_01;PA000000024;MB
KHHN000000025ME;TELESALES_01;PA000000025;MB
KHHN000000026ME;TELESALES_01;PA000000026;MB
KHHN000000027ME;TELESALES_01;PA000000027;MB
KHHN000000028ME;TELESALES_01;PA000000028;MB
KHHN000000029ME;TELESALES_01;PA000000029;MB
KHHCM000000001ME;TELESALES_MN_01;PAHCM000000001;MN
KHHCM000000002ME;TELESALES_MN_01;PAHCM000000002;MN
KHHCM000000003ME;TELESALES_MN_01;PAHCM000000003;MN
KHHCM000000004ME;TELESALES_MN_01;PAHCM000000004;MN
KHHCM000000005ME;TELESALES_MN_01;PAHCM000000005;MN
KHHCM000000006ME;TELESALES_MN_02;PAHCM000000006;MN
KHHCM000000007ME;TELESALES_MN_02;PAHCM000000007;MN
KHHCM000000008ME;TELESALES_MN_02;PAHCM000000008;MN
KHHCM000000009ME;TELESALES_MN_02;PAHCM000000009;MN
KHHCM000000010ME;TELESALES_MN_02;PAHCM000000010;MN
